Número Identificador,Nome,Artigos Completos em Periódicos,Ano do Primeiro Artigo,Ano do Último Artigo,Livros Publicados/Organizados,Ano do Primeiro Livro,Ano do Último Livro,Capítulos de Livros Publicados,Ano do Primeiro Capítulo,Ano do Último Capítulo,Trabalhos Completos em Anais de Congressos,Ano do Primeiro Trabalho,Ano do Último Trabalho,Resumos Expandidos em Anais de Congressos,Ano do Primeiro Resumo Expandido,Ano do Último Resumo Expandido,Resumos em Anais de Congressos,Ano do Primeiro Resumo,Ano do Último Resumo,Apresentação de Trabalhos,Ano da Primeira Apresentação,Ano da Última Apresentação
0041772999203690,Lúcio Rogério Júnior,5,2020,2021,0,,,3,2019,2020,5,2016,2020,3,2020,2021,0,,,0,,
0041783286946107,Rafael Becker Ferreira Rodrigues,2,2014,2015,0,,,0,,,2,2014,2014,0,,,0,,,1,2014,2014
0041832449297553,Maria Teresa Cardoso de Campos,9,2002,2008,1,2004,2004,2,2014,2010,7,2004,2010,9,2004,2007,1,2000,2000,16,1992,1993
0041837031904802,Rodolfo Bizarria Júnior,6,2019,2020,0,,,0,,,0,,,24,2013,2017,4,2012,2014,34,2012,2017
0041837367773530,Nelson Ivo Moreira Costa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0041844648113916,Felipe Taylor Murta,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0041853690135906,Mônica Roberta Aparecida Silva,0,,,0,,,1,2011,2011,2,2007,2007,0,,,0,,,1,2012,2012
0041868806443899,Edson de Carvalho Ramos,4,2015,2016,1,2017,2017,7,2017,2017,12,2017,2020,0,,,0,,,7,2018,2020
,Thales Robin Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0041933965366300,Juliana Goncalves Caceres,0,,,1,2019,2019,0,,,2,2012,2013,2,2010,2010,0,,,6,2010,2013
0041942045058820,Maria Cecilia Sobral de Paiva,1,2008,2008,0,,,0,,,3,2010,2010,0,,,0,,,2,2010,2010
0041955100245288,Carlos Roberto Pena Soares,0,,,0,,,0,,,1,2001,2001,0,,,0,,,0,,
,Joana D'Arc da Rocha Alves,7,1996,2001,0,,,0,,,7,1999,1991,6,1999,1997,16,2007,2008,1,1997,1997
0041982823589849,Antonio Benedito Guirro,0,,,1,2006,2006,0,,,1,2002,2002,0,,,0,,,0,,
0041993794557881,Rodrigo Pinheiro de Almeida,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042026335754742,Eliza Magna de souza barbosa,1,2013,2013,0,,,1,1999,1999,0,,,0,,,0,,,8,2010,2013
0042032494640857,Augusto Albuquerque Moura,5,2018,2020,0,,,0,,,0,,,0,,,0,,,0,,
0042049457937541,Diogo Fernando Saturno,2,2015,2017,0,,,0,,,0,,,6,2009,2013,13,2008,2011,3,2010,2009
0042070769825738,Ana Caroline Perez Medeiros,4,2011,2012,0,,,0,,,0,,,3,2003,2004,0,,,4,2009,2010
0042107562201848,Carlos Raimundo Reis Mattos,14,2007,2011,0,,,0,,,1,1986,1986,11,2005,1997,0,,,11,2003,2008
0042121296551567,Beatriz de Medeiros Ribeiro,9,1999,2013,0,,,0,,,0,,,0,,,0,,,30,1999,1999
0042148614967855,Pedro Henrique Netto Cezar,6,2008,2007,0,,,1,2005,2005,4,2006,2006,5,2005,2005,0,,,5,2014,2010
0042156484200828,Raquel Tarifa de Oliveira Esposito,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042172516105480,Fábio Luis Diniz de Magalhães,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042179461099321,Elaine Miranda Silveira Bello Rocha,0,,,0,,,0,,,1,2000,2000,0,,,0,,,3,2003,2006
,Elcio Michiharu Ishizuka,0,,,0,,,0,,,4,2003,2000,1,2000,2000,0,,,0,,
0042208633852164,Miguel Machado,2,2019,2019,0,,,3,2019,2019,0,,,2,2013,2020,9,2013,2013,2,2017,2017
0042240664972145,André Madeira Silveira França,9,2012,2014,0,,,0,,,0,,,12,2011,2014,1,2010,2010,11,2012,2010
0042296907927212,Barbara Hanna Fernandes Pereira,1,2011,2011,0,,,0,,,0,,,0,,,0,,,0,,
0042299196146494,Bráulio Gomes Mendes Diniz,15,2014,2013,0,,,5,2013,2020,0,,,0,,,0,,,1,2017,2017
0042299445335396,Cibeli de Souza Prates,13,2004,2015,1,2007,2007,18,1998,2018,0,,,67,2004,2008,1,2004,2004,53,1997,2008
0042309751783382,Viviane Gonçalves Curto,1,2009,2009,0,,,0,,,6,2008,2009,0,,,0,,,16,2005,2008
0042310059944573,Erica Daiane Marques da Silva e Teodoro,0,,,0,,,0,,,0,,,0,,,0,,,3,2015,2015
0042310433870603,Juliana Scheibner Dellafavera,2,2016,2012,1,2021,2021,0,,,3,2011,2013,2,2010,2009,2,2013,2012,5,2010,2012
0042317222730391,Erika da Rocha von Söhsten,0,,,0,,,1,2011,2011,0,,,0,,,0,,,5,2004,2014
0042321761546320,Tamires Tessarolli de Souza Barbieri,2,2014,2020,0,,,0,,,4,2011,2015,1,2011,2011,1,2014,2014,3,2011,2013
0042327201644809,Cibele Ribeiro Pereira,0,,,0,,,0,,,2,2018,2019,1,2018,2018,0,,,2,2019,2018
0042349763224664,Igor Roberto Lopes Marques,0,,,0,,,0,,,2,2009,2008,0,,,0,,,0,,
0042352796108665,Luis Antonio de Oliveira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042376421156791,Caio Vinicius Roldão Agarie,0,,,0,,,0,,,0,,,0,,,0,,,3,2012,2011
0042392018480711,Fabrício Tonetto Londero,7,2015,2015,2,2021,2021,5,2019,2021,7,2017,2020,18,2015,2020,5,2015,2016,12,2012,2020
0042401316803327,Darlan de Farias Rodrigues,1,2018,2018,1,2020,2020,2,2020,2020,3,2018,2017,0,,,3,2018,2016,13,2016,2019
0042402825459074,Firmino Wagner Gomes da Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042421050792657,Flávio Henrique de Bittencourt Zavan,0,,,0,,,0,,,5,2016,2017,0,,,0,,,0,,
0042429496518664,Renata Garutti Rossafa,1,2020,2020,1,2021,2021,2,2019,2019,1,2018,2018,8,2014,2014,0,,,10,2016,2018
,Yandira Neto Custódio,0,,,0,,,0,,,0,,,1,1993,1993,0,,,2,2004,2006
0042438528238142,Roque Lessa Bispo,1,2018,2018,0,,,0,,,0,,,1,2013,2013,2,2012,2013,8,2012,2010
0042445838826617,Jéssica de Oliveira Miranda Dias Paixão,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0042453963207270,Ana Claudia Marques Paraense dos Santos,1,1995,1995,0,,,0,,,0,,,0,,,0,,,1,2016,2016
0042463925185317,Paula Chiattone Corvello Vidal,5,2007,2009,0,,,1,2010,2010,0,,,27,2003,2005,0,,,33,2001,2003
0042503228810827,Norma Alves de Oliveira,2,2012,2015,1,2004,2004,2,2008,2004,0,,,0,,,0,,,69,2000,2006
0042512761294261,Maiara Castro de Freitas,3,2011,2018,0,,,0,,,1,2016,2016,7,2013,2013,2,2013,2013,16,2012,2016
0042547328878110,Ronei Arno Mocellin,3,2003,2002,0,,,1,2012,2012,0,,,0,,,0,,,0,,
0042560984914800,Rosemary Nantes Ferreira Martins,0,,,0,,,1,2019,2019,4,2010,2017,0,,,0,,,9,2008,2019
0042572794376594,Daniela Borcezi,7,2018,2015,0,,,0,,,1,2018,2018,0,,,1,2018,2018,5,2017,2014
0042594167366223,Tarcísio Concolato Greggio,6,2008,2013,0,,,0,,,9,2011,2010,5,2010,2017,3,2013,2017,18,2010,2010
0042607654443717,Giselle Monteiro Silveira,0,,,3,2016,2017,3,2017,2018,5,2015,2020,2,2016,2016,1,2015,2015,17,2007,2015
0042721228143060,Edmar Monteiro Filho,0,,,14,1993,2011,0,,,0,,,0,,,0,,,4,2012,2013
0042746230933188,Bruno Feital Barbosa Motta,8,2014,2016,2,2013,2013,3,2011,2011,0,,,55,2012,2017,0,,,15,2009,2008
0042760750439685,Andrea Soledad Roca Vera,2,2019,2009,2,2016,2014,1,2014,2014,0,,,0,,,0,,,0,,
0042762345116483,Silvia Renata Cicconi Barbin,0,,,0,,,0,,,0,,,0,,,0,,,15,2003,1988
0042765161520137,Erika Lizette Silveira da Silva,0,,,0,,,0,,,4,2006,2008,4,1999,2006,2,2006,2008,0,,
0042776906702541,Samantha Caroline Ferreira Moreira,10,2015,2016,3,2018,2018,20,2018,2020,0,,,0,,,0,,,11,2014,2016
,Isilda Lozano Perez,0,,,0,,,4,2003,2012,0,,,0,,,0,,,0,,
0042804061148109,Juliano Roberto de Oliveira,0,,,0,,,0,,,0,,,0,,,0,,,3,2017,2017
0042812182878010,Nathália Boni Cadore,1,2013,2013,0,,,1,2016,2016,3,2013,2014,2,2015,2013,0,,,19,2009,2013
0042832671979301,Jacqueline Oliveira Rueda,0,,,0,,,0,,,3,2008,2008,5,2007,2008,0,,,8,2007,1998
0042848764060801,Edson Trombine Leite Junior,0,,,0,,,0,,,0,,,0,,,0,,,2,2017,2013
0042887940458315,Simone Heineck Tavares,3,2016,2015,0,,,0,,,1,2013,2013,14,2008,2018,3,2008,2018,4,2008,2008
0042911219133600,Pamela Andrade,1,2013,2013,0,,,2,2018,2013,1,2014,2014,7,2012,2012,0,,,11,2012,2013
0042913267073532,Kellyane da Rocha Mendes,3,2018,2018,0,,,5,2016,2016,0,,,8,2016,2019,13,2018,2020,4,2019,2018
0042944572912971,Pedro de Freitas Vendramini,1,2014,2014,0,,,0,,,0,,,0,,,0,,,2,2018,2018
0042981298784895,Celso dos Santos Viviani,0,,,0,,,0,,,0,,,0,,,0,,,1,2013,2013
0043005411333001,Sérgio Augusto Jorge Guedes,1,1998,1998,0,,,0,,,0,,,0,,,0,,,3,1999,1997
,Jaqueline Cristina Rossi,4,2007,2007,0,,,0,,,0,,,5,2000,1999,0,,,0,,
0043020012426822,Leandro Pohlmann Rocha,0,,,0,,,0,,,0,,,0,,,0,,,1,2018,2018
0043047467470835,Claudia Barbosa Campos,0,,,0,,,0,,,0,,,0,,,0,,,1,2017,2017
0043073817211292,Ariane de Souza,2,2010,2011,0,,,0,,,3,2012,2012,10,2006,2010,6,2006,2008,21,2006,2007
0043074420269236,Ana Caroline Casalvara,2,2014,2010,0,,,0,,,0,,,5,2006,2007,2,2011,2007,6,2007,2008
0043074447574443,Hugo Cardoso Esteves,0,,,0,,,0,,,0,,,0,,,0,,,1,2009,2009
0043084654387316,Luís Henrique Ferreira Silva,0,,,0,,,0,,,3,2011,2011,0,,,0,,,7,2010,2010
0043091129338230,Mauricio de Carvalho Salviano,34,2001,2004,3,2011,2016,3,2008,2011,2,2008,2004,0,,,0,,,7,2010,2011
0043094725840121,Mario Roberto Guarizi,14,1997,2011,1,2007,2007,0,,,4,2007,2008,56,2000,2011,1,2008,2008,68,2000,2006
0043120548874798,Felipe Parra Alves de Oliveira,13,2013,2021,0,,,4,2014,2018,12,2015,2020,8,2015,2019,7,2018,2021,19,2013,2017
0043124900017564,Andre Luiz Pereira Gomes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043170642194780,Tiago da Costa Alves da Fontoura Rodrigues,2,2019,2015,0,,,0,,,3,2010,2010,2,2011,2011,0,,,2,2013,2011
0043195202747411,Sídnei Nahórny,4,2013,2016,0,,,0,,,2,2015,2018,2,2015,2018,1,2017,2017,0,,
0043250068927916,Monica Fontoura de Oliveira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043279955632030,Bruno Barcellos Pereira,2,2013,2012,1,2015,2015,1,2017,2017,0,,,0,,,0,,,7,2012,2016
0043285923225975,Nathália Caroline Santiago e Souza,9,2017,2015,0,,,0,,,0,,,4,2016,2015,0,,,5,2012,2016
0043290046285218,ivan ZABUNOV DE OLIVEIRA,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043293047888426,José Romero Rodrigues de Andrade,4,2008,2008,0,,,1,2017,2017,0,,,1,2011,2011,4,2011,2009,11,2011,2009
,Andriara Costa Xavier,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043297095840054,Rita de Cássia Monteiro Pires,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043339692055384,Adão de Souza Pires,1,2008,2008,0,,,2,2017,2017,2,2017,2016,0,,,0,,,1,2018,2018
0043340777438473,Claudia Aparecida Hardt da Silva,0,,,0,,,0,,,0,,,1,2007,2007,0,,,2,2007,2006
0043342867338281,Débora Musetti Kuroishi,0,,,0,,,0,,,0,,,6,2007,2005,0,,,13,2006,2011
0043347646598122,Wisner Gonçalves Mesquita,10,2014,2014,0,,,0,,,0,,,0,,,0,,,0,,
0043365555824132,Vanderleia Barbosa Da Silva,0,,,0,,,1,2013,2013,1,2013,2013,3,2011,2013,0,,,15,2012,2013
0043371129214773,Carlos Henrique Ferreira Leite,2,2015,2014,0,,,1,2019,2019,12,2012,2021,11,2012,2021,1,2021,2021,19,2012,2021
,Geraldo Ramos de Figueiredo,37,1981,1995,1,1996,1996,0,,,0,,,0,,,0,,,0,,
0043403125593269,Elias José Miranda,0,,,0,,,0,,,0,,,0,,,0,,,7,2013,2009
0043453839752766,Ricardo Rivas de Araújo,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043462283113580,Oscar Joaquim da Silva Neto,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,Arnalfo Ramos de Souza,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043468001984050,Felipe Bueno Endo,0,,,0,,,0,,,0,,,0,,,0,,,1,2014,2014
,Henrique Pires de Almeida Nobre,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043470834723959,Cristiane Escolastico Siniscalchi,2,2008,1997,0,,,0,,,0,,,0,,,0,,,0,,
0043475349714232,Marilia Capuço Oliveira,2,2013,2017,0,,,0,,,0,,,3,2009,2008,0,,,15,2009,2014
0043477285540135,Vitor Sousa Domingues,5,2010,2012,0,,,1,2013,2013,5,2009,2009,9,2009,2013,0,,,7,2009,2008
0043481393419504,Gerônimo Brito Vieira,0,,,0,,,0,,,0,,,1,2014,2014,0,,,2,2019,2014
0043488710487338,Fábio Zamboti Fortes,0,,,0,,,1,2004,2004,4,2004,2006,0,,,0,,,0,,
,Alexandre Charpinel Gama Pereira,0,,,0,,,0,,,2,2007,2007,0,,,0,,,3,2004,2007
0043499346261544,Cecília Helena Peinado de Sampaio Mattos,1,2010,2010,0,,,2,2012,2012,0,,,4,2005,2005,0,,,6,2006,2007
0043505340547468,Fernanda Soares Macedo,0,,,0,,,0,,,0,,,0,,,0,,,12,2015,2015
,Lídia Naomi Hara,3,1998,2000,0,,,0,,,2,1998,1998,19,1996,1997,0,,,21,1998,1998
0043519633159924,Lilian Maria Salvador Guimarães Campos,3,2011,2005,0,,,0,,,0,,,0,,,0,,,3,2001,2003
0043520432655234,Manoel Ícaro do Rosàrio Galdino,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043522853238126,Lincoln Tolomelli e Tolomelli,1,2016,2016,0,,,0,,,2,2015,2014,1,2012,2012,0,,,0,,
0043562722970382,Isabel Cristina Guerra Spacov,2,2011,2006,1,2001,2001,0,,,0,,,6,2000,2004,0,,,18,2004,2010
,Silvia Maria Ferreira Albani,0,,,0,,,1,2007,2007,5,2008,2005,9,2003,2005,0,,,1,2006,2006
0043591560924165,Welington Leoncio Costa,2,2013,2015,0,,,0,,,13,2013,2014,1,2013,2013,1,2011,2011,29,2009,2014
0043606571393548,Mauricio Villarroel Utreras,0,,,0,,,0,,,0,,,0,,,0,,,3,2013,2015
0043640389271773,Daniela Lobato Nazaré Muniz,5,2011,2011,0,,,0,,,0,,,1,2006,2006,1,2006,2006,17,2005,2006
,Emília Yumi Tomita,1,2002,2002,0,,,0,,,0,,,4,1999,2001,0,,,0,,
0043656709375304,José Jorge Aragão de Oliveira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043658799227242,Henrique Wedderhoff Herrmann,2,2015,2014,0,,,3,2013,2013,14,2012,2014,3,2015,2011,5,2014,2015,12,2012,2015
0043672008149835,Josias de Oliveira Nunes,0,,,0,,,0,,,0,,,0,,,0,,,3,2019,2019
0043690629783412,Clara Zeferino Garcia,2,2008,2012,0,,,0,,,2,2008,2017,1,2012,2012,0,,,2,2011,2012
0043702384654248,Auxiliador Jairo de Sousa,1,2020,2020,5,2017,2019,2,2005,2018,0,,,1,2018,2018,0,,,7,2004,2017
0043714240337899,José Monteiro do Nascimento Junior,1,2018,2018,0,,,0,,,0,,,3,2015,2015,0,,,8,2012,2015
0043722306929148,Emanuella Fabricia Carvalho dos Santos,0,,,0,,,0,,,0,,,0,,,0,,,2,2019,2019
0043753328796890,José Ricardo Lima Bispo,3,2006,2004,0,,,0,,,0,,,0,,,0,,,0,,
0043759950691350,Karen do Nascimento Lopes,0,,,0,,,0,,,0,,,2,2015,2014,3,2014,2016,5,2014,2016
0043763796668360,Rodolfo Aureo Tasca,3,2007,2007,2,2013,2013,0,,,0,,,0,,,0,,,0,,
0043763946336743,Natália Pires Martins,2,2017,2020,0,,,1,2017,2017,2,2016,2019,1,2017,2017,1,2020,2020,5,2016,2020
0043769690989044,Orion de Vargas Flores,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043785257791561,Marcos Alves de Souza Peçanha,3,2018,2020,0,,,0,,,0,,,11,2016,2007,3,2017,2017,13,2007,2006
0043786089629862,José Renato Marchiori,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043786282957786,Cesar Augusto Alves,1,2005,2005,0,,,0,,,0,,,0,,,0,,,0,,
,Marianna Paz do Monte,0,,,0,,,0,,,0,,,0,,,0,,,8,2012,2013
0043799033236351,George Rolim de Moura Filho,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043814616306020,Ana Paula Rodrigues Brasil de Oliveira,5,2010,2015,0,,,0,,,0,,,5,2004,2007,8,2010,2010,21,2009,2009
0043841852796155,Bruno Schimitt Morassutti,5,2015,2015,0,,,3,2017,2019,5,2017,2016,0,,,0,,,1,2016,2016
0043869508186280,Marcus Vinícius da Silva,2,2020,2020,1,2021,2021,0,,,0,,,9,2002,2018,0,,,8,2006,2020
0043872315085844,Anay Cardoso Miranda,0,,,3,2017,2017,1,2016,2016,1,2015,2015,1,2012,2012,0,,,0,,
0043907928918552,Ingrid de Campos Albuquerque,5,2017,2018,1,2020,2020,2,2020,2021,0,,,46,2010,2012,3,2012,2014,29,2010,2019
0043916542934916,Fernando Bonifácio Anacleto,7,2015,2021,0,,,2,2021,2021,0,,,8,2012,2018,2,2012,2018,21,2010,2015
0043935110960256,Roger Pena de Lima,3,2019,2019,0,,,1,2018,2018,4,2017,2018,1,2016,2016,1,2016,2016,8,2018,2018
0043947522895354,Leticia Dal Berto,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0043957493979861,Paulo Cesar Rausch,1,2019,2019,0,,,0,,,0,,,0,,,0,,,1,2018,2018
0043971040987208,Betina Ludwig Navarro,2,2017,2020,0,,,0,,,1,2017,2017,2,2013,2017,0,,,2,2017,2013
0043977183196606,Haifa Machado Cury Correa da Costa,0,,,0,,,0,,,0,,,4,2000,2000,0,,,0,,
0043990782402992,Ricardo Nascimento Drozino,7,2015,2019,0,,,1,2016,2016,3,2011,2013,16,2010,2010,9,2011,2019,4,2011,2019
0043994676589356,Luiz Henrique Brugim,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044014106754815,Daniel Moraes Gregores,0,,,0,,,0,,,3,2016,2018,8,2008,2016,1,2008,2008,11,2008,2016
,Altemar Dettogne do Nascimento,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044077131054497,Ricardo da Silva Pereira,0,,,0,,,8,1983,1999,1,1997,1997,0,,,0,,,0,,
0044094143641484,Lindomar Gomes dos Santos,4,2016,2016,0,,,3,2016,2016,1,2016,2016,1,2011,2011,1,2016,2016,0,,
0044095550377850,Nair Mota Dias,0,,,0,,,0,,,1,2020,2020,1,2016,2016,0,,,4,2015,2020
0044112540795279,Priscila Freire Bondarenco Néia,0,,,1,2018,2018,0,,,8,2009,2011,0,,,1,2010,2010,24,2009,2009
0044131330945175,Márcio Handerson Benevides de Freitas,5,2017,2019,0,,,0,,,1,2017,2017,0,,,0,,,1,2018,2018
0044144012362627,Eric Henrique de Souza,0,,,4,2011,2016,0,,,1,2021,2021,0,,,0,,,0,,
0044153822490710,Paula Oliveira Dutra,1,2012,2012,0,,,0,,,0,,,0,,,7,2006,2004,5,2012,2013
0044170509222082,Eliana Ferasin Vilarrubia,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044174520646131,Patricia Parizotto,7,2012,2016,1,2015,2015,0,,,0,,,18,2015,2015,0,,,18,2013,2015
0044187372796961,Maria Beatriz Oliveira Dias,1,1997,1997,0,,,0,,,0,,,19,1999,2006,0,,,1,2006,2006
0044199786628998,Lucília Maria de Souza Teixeira,0,,,0,,,0,,,4,1981,1981,1,2000,2000,0,,,0,,
0044202616974179,Eraldo Souza dos Santos,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044203978779488,Vivian Monteiro,0,,,1,2017,2017,1,2017,2017,4,2013,2019,6,2002,2003,0,,,1,2013,2013
0044209317879758,Rilná Figueiredo da Silva,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044218170701861,Veronete Dias Gomes,1,2018,2018,0,,,2,2018,2019,1,2016,2016,0,,,1,2017,2017,8,2011,2015
0044220430849893,César Augusto Figueiredo Maciel,0,,,0,,,2,2001,2001,2,1999,2001,0,,,0,,,0,,
0044272496878782,Marta Cleonice Costa Rego,0,,,0,,,0,,,0,,,0,,,0,,,2,2010,2009
,Helder de Freitas Braga,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044287961433243,Ana Carolina Heringer Costa Castellano,0,,,0,,,2,2019,2020,0,,,0,,,0,,,0,,
0044293382427808,Ransel Barzaga Guzmán,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044307593487671,André Rodrigues Pereira,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044313557209401,Edson Labadessa,1,2019,2019,0,,,0,,,1,2015,2015,2,2012,2015,1,2015,2015,1,2011,2011
0044313933826697,Ivanildes da Glória Nunes da Cruz,1,2021,2021,0,,,3,2020,2020,1,2020,2020,0,,,1,2017,2017,4,2017,2018
0044315413695984,Iraci Matos Vasconcellos,0,,,0,,,0,,,0,,,0,,,0,,,2,2008,2020
0044323601501108,Mônika Menezes da Costa Stefani,1,2011,2011,0,,,0,,,0,,,0,,,0,,,1,2012,2012
0044356648927426,Carla Graziela Rodegueiro Barcelos Araújo,2,2018,2018,0,,,1,2019,2019,0,,,0,,,0,,,13,2008,2008
0044372929410357,Ronald Ramos Torres,0,,,0,,,0,,,0,,,0,,,0,,,3,2007,2009
0044385132310697,Marçal Paim da Rocha,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044407095991109,Fernanda Maria de Lira Correia,1,2015,2015,0,,,3,2016,2019,0,,,20,2014,2019,4,2013,2013,15,2014,2014
0044425335575124,Lúcio Flávio Siqueira Costa Leite,2,2018,2019,0,,,0,,,0,,,2,2020,2009,1,2020,2020,17,2011,2016
0044427873059418,Nayara Tahiana Catenace Pereira,0,,,0,,,0,,,0,,,0,,,0,,,5,2007,2016
0044428529302988,Paulo Ricardo Braga Maciel,0,,,3,2019,2019,0,,,5,2018,2019,0,,,0,,,7,2018,2012
,Arcelio Alves Fortes,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044459354886008,Fabrício Soares de Melo,0,,,0,,,0,,,0,,,1,2007,2007,0,,,1,2007,2007
0044466253856551,Heitor Salvador de Oliveira,1,2007,2007,0,,,0,,,5,2003,2002,0,,,2,2015,2008,8,2004,2015
0044476898873363,Gesiel Rios Lopes,2,2019,2016,0,,,2,2019,2019,5,2011,2019,2,2012,2012,2,2017,2018,5,2008,2012
0044489760896926,Evalda Rodrigues da Silva de Oliveira,3,2018,2020,0,,,0,,,11,2017,2017,9,2016,2019,0,,,17,2016,2016
0044513599880020,Francisca Wilcilane Barreto Pinheiro,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044527304614756,Ana Paula Natalini de Araujo,3,2003,2000,0,,,0,,,0,,,11,1997,1999,0,,,3,2006,2000
0044553628861644,Clêi Valverde Cardim,0,,,1,2011,2011,0,,,0,,,0,,,0,,,3,2017,2018
0044602774589114,Clarissa Corrêa de Carvalho,0,,,0,,,1,2018,2018,0,,,0,,,0,,,0,,
0044636561306943,Tiago Alves de Gouveia Lins Dutra,1,2011,2011,0,,,0,,,3,2012,2007,0,,,0,,,3,2013,2012
0044667677415564,Roberta Decarli Bof,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044675697842239,Matheus de Vasconcelos Casimiro,4,2019,2021,1,2019,2019,0,,,1,2018,2018,0,,,0,,,23,2010,2012
0044703870148646,Luciano Galvão Freire Junior,1,2002,2002,0,,,0,,,2,2008,2009,4,2000,2001,1,2008,2008,2,2009,2010
0044721939194663,Fernanda Freitas Andrade,5,2013,2014,0,,,0,,,7,2008,2012,7,2009,2009,0,,,6,2009,2009
0044739466056217,Jamerson Cavalcante de Lima,0,,,0,,,0,,,0,,,6,2000,2000,1,2005,2005,1,2008,2008
,Alexandre José Ornellas da Costa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044762419454938,Ronaldo Rufino Torres Junior,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044786299766868,Manuel Fernando Coronado Jorge,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044806764461859,Izabel Cristina Galbiatti Vespa,4,2002,2006,1,2019,2019,0,,,0,,,1,2004,2004,1,2005,2005,0,,
0044814047306384,Nicole Maria Turcheti e Melo,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044819557292813,Ionara Cortez Bezerra,0,,,0,,,0,,,3,2009,2008,4,2008,2010,0,,,7,2007,2007
0044821821002028,Otávio Diel Deves,2,2013,2008,0,,,0,,,7,2008,2010,18,2002,2004,9,2004,2008,0,,
0044829254994095,Flávio Sussumu Yasuda,3,2009,2018,0,,,0,,,0,,,0,,,0,,,7,2010,2010
0044835181745297,Raumi Joaquim de Souza,0,,,0,,,0,,,0,,,0,,,0,,,4,2009,2004
0044840699464370,Heidi Luise Schulte,5,2017,2021,0,,,0,,,0,,,2,2014,2019,0,,,0,,
0044858518058358,Alessandra Pinto Nora,1,2010,2010,0,,,0,,,0,,,0,,,0,,,2,2012,2011
0044871504734852,Paula Luíza Santos Ismerim,3,2009,2012,0,,,2,2011,2012,3,2006,2008,12,2005,2011,0,,,0,,
0044880844262611,Yuri Kelvin Nascimento da Silva,0,,,0,,,0,,,2,2017,2019,1,2015,2015,2,2017,2016,5,2017,2015
0044884737144534,Guilherme Afonso Vergara,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044886390944612,Júlia Camargos de Paula,0,,,0,,,0,,,0,,,0,,,0,,,1,2019,2019
0044910813949288,Maria Dayanne Luna Lucetti,0,,,0,,,1,2016,2016,0,,,0,,,0,,,9,2011,2011
0044917244740743,Pedro Jorge Cavalcante Costa,15,2011,2016,0,,,1,2017,2017,0,,,44,2009,2010,0,,,72,2007,2019
0044928593966654,Jose Mario de Carvalho Junior,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0044932351428155,Fúlvio Gabriel Corazza,8,2014,2020,0,,,0,,,0,,,6,2017,2015,0,,,0,,
0044942384860143,Letícia Sandri,0,,,0,,,0,,,1,2019,2019,0,,,0,,,0,,
,Patrícia Fortuna Wanderley Prazeres,0,,,1,2005,2005,0,,,0,,,2,2006,2006,0,,,7,2007,2009
0044984124510925,Elhadi Ahmed Khalifa,0,,,0,,,0,,,0,,,0,,,0,,,0,,
0045036261500136,Márcio Baldissera Prauchner,1,2020,2020,0,,,0,,,1,2019,2019,25,2013,2016,0,,,2,2016,2016
,Maria Fernanda Campos Morais,4,1997,1996,0,,,0,,,25,1998,1995,0,,,0,,,0,,
